Day;Hires;SundayMonthInd;MondayMonthInd;TuesdayMonthInd;WednesdayMonthInd;ThursdayMonthInd;FridayMonthInd;SaturdayMonthInd;LastSunday;LastMonday;LastTuesday;LastWednesday;LastThursday;LastFriday;LastSaturday;PenultimateSunday;PenultimateMonday;PenultimateTuesday;PenultimateWednesday;PenultimateThursday;PenultimateFriday;PenultimateSaturday;WorkingDay;BeforeHoliday;Holiday;ContributionToWorkingMonth;ContributionToMonth;MonthWorkingDayInd;ReverseMonthWorkingDayInd;Last5WDinMonthInd;Last5WDinMonth;Last4WDinMonthInd;Last4WDinMonth;tmin;tmax;tmean;hmin;hmax;hmean;pmin;pmax;pmean;wmean;wmax;gust;wdir;rain;dmin;dmax;dmean;nightmin;daymax;tc10max;tchrmax;hchrmax;tc10min;tchrmin;hchrmin;w10max;fmin;fmax;fmean;afhrs;TubeStrike;Olympics;SpecialEvent;SpecialEventName
2011-01-01;4555;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0.0323;0;0;0;0;0;0;3.2;6.6;5.2;84;95;89;1023;1027;1025;4.2;10.2;15.4;330;0.1;1.4;5.7;3.6;3.2;6.6;0.2;0.9;3;0.2;1;3;7.4;0.5;6.6;3.6;0;0;0;0;none
2011-01-02;6250;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0.0323;0;0;0;0;0;0;1.5;3.2;2.3;77;88;84;1027;1029;1028;3.5;7.4;9.4;343;0;-1.6;1.4;-0.2;1.5;3.2;0.2;0.5;1;0.2;0.5;3;5;-2;3;0.9;0;0;0;0;none
2011-01-03;7262;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.0323;0;0;0;0;0;0;-0.9;3.3;2;65;87;76;1018;1027;1022.5;2.2;7.6;8.7;244;0;-3.6;-0.7;-1.9;-0.9;3.3;0.3;1.5;5;0.4;1.4;6;4.7;-1.9;3.3;1.4;1.9;0;0;0;none
2011-01-04;13430;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.05;0.0323;1;20;0;0;0;0;2.6;5;3.6;75;87;82;1008;1019;1013.5;4.9;14;17.4;217;0;-1.2;3;0.9;2.6;4.3;0.2;0.7;4;0.2;0.6;5;8;-0.6;4.4;1.4;0;0;0;0;none
2011-01-05;13757;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.05;0.0323;2;19;0;0;0;0;4.1;7.1;5.8;65;95;83;995;1008;1001.5;7.2;18.5;26.2;203;0.8;0.1;6.4;3.1;4.1;6.4;0.3;1;10;0.2;0.8;8;12.7;-0.7;7.1;3;0;0;0;0;none
2011-01-06;9595;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.05;0.0323;3;18;0;0;0;0;1.3;6.8;4;94;98;95;993;1003;998;2.1;7.4;10.5;318;10.1;0.9;6.1;3.3;4.3;4.7;0.2;0.4;2;0.3;1;2;6.4;-0.5;6.7;3.4;0;0;0;0;none
2011-01-07;9294;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0.05;0.0323;4;17;0;0;0;0;0.6;10.1;5.8;93;98;97;997;1003.00001;1000;4.9;14;20.8;136;9;0.2;9.8;5.4;0.6;10.1;0.4;1.5;1;0.3;0.7;3;9;-2;11.3;4.4;0;0;0;0;none
2011-01-08;9338;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0.0323;0;0;0;0;0;0;2.7;10;7.2;68;96;83;988;1005;996.5;7.5;19.9;33.1;226;3.5;-0.5;9.1;4.5;9.2;10;0.2;0.6;4;0.4;1.5;9;13.3;-1.6;10.7;4.7;0;0;0;0;none
2011-01-09;10558;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.0323;0;0;0;0;0;0;1.5;5.8;3.2;66;90;80;1005;1018;1011.5;4.2;10.9;15.9;237;0;-1.6;1.5;0;1.5;5.8;0.3;1.4;4;0.3;1;8;8.1;-2.2;5.8;1;0;0;0;0;none
2011-01-10;16058;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.05;0.0323;5;16;0;0;0;0;-0.7;8.2;4.9;73;96;86;1002;1018;1010;7;19.7;30;189;0.5;-2.7;5.9;2.6;-0.7;8.2;0.3;1.5;8;0.3;1.1;6;11.7;-2.4;6.4;2.4;2;0;0;0;none
