COUNTRY;MONTH;REGISTRATIONS
Austria;2010-01-01;20882
Belgium;2010-01-01;49376
Bulgaria;2010-01-01;956
Czech Republic;2010-01-01;10830
Denmark;2010-01-01;10658
Estonia;2010-01-01;759
Finland;2010-01-01;11911
France;2010-01-01;171478
Germany;2010-01-01;181189
Greece;2010-01-01;26585
Hungary;2010-01-01;2781
Ireland;2010-01-01;16382
Italy;2010-01-01;207267
Latvia;2010-01-01;269
Lithuania;2010-01-01;439
Luxembourg;2010-01-01;3536
Netherlands;2010-01-01;62761
Poland;2010-01-01;25371
Portugal;2010-01-01;14558
Romania;2010-01-01;3791
Slovakia;2010-01-01;2917
Slovenia;2010-01-01;5217
Spain;2010-01-01;70130
Sweden;2010-01-01;15523
United Kingdom;2010-01-01;145479
Iceland;2010-01-01;88
Norway;2010-01-01;9697
Switzerland;2010-01-01;18908
Austria;2010-02-01;21786
Belgium;2010-02-01;47584
Bulgaria;2010-02-01;1013
Czech Republic;2010-02-01;11106
Denmark;2010-02-01;8590
Estonia;2010-02-01;562
Finland;2010-02-01;7195
France;2010-02-01;180535
Germany;2010-02-01;194846
Greece;2010-02-01;13728
Hungary;2010-02-01;3041
Ireland;2010-02-01;12098
Italy;2010-02-01;201638
Latvia;2010-02-01;329
Lithuania;2010-02-01;435
Luxembourg;2010-02-01;4081
Netherlands;2010-02-01;37566
Poland;2010-02-01;24398
Portugal;2010-02-01;15358
Romania;2010-02-01;4212
Slovakia;2010-02-01;3476
Slovenia;2010-02-01;4914
Spain;2010-02-01;91281
Sweden;2010-02-01;17972
United Kingdom;2010-02-01;68686
Iceland;2010-02-01;77
Norway;2010-02-01;9094
Switzerland;2010-02-01;18571
Austria;2010-03-01;33270
Belgium;2010-03-01;64330
Bulgaria;2010-03-01;1188
Czech Republic;2010-03-01;17473
Denmark;2010-03-01;13935
Estonia;2010-03-01;864
Finland;2010-03-01;8698
France;2010-03-01;242707
Germany;2010-03-01;294374
Greece;2010-03-01;19053
Hungary;2010-03-01;4392
Ireland;2010-03-01;13650
Italy;2010-03-01;259115
Latvia;2010-03-01;466
Lithuania;2010-03-01;501
Luxembourg;2010-03-01;5806
Netherlands;2010-03-01;44751
Poland;2010-03-01;29348
Portugal;2010-03-01;23836
Romania;2010-03-01;9923
Slovakia;2010-03-01;5397
Slovenia;2010-03-01;6040
Spain;2010-03-01;124756
Sweden;2010-03-01;25652
United Kingdom;2010-03-01;397383
Iceland;2010-03-01;156
Norway;2010-03-01;11486
Switzerland;2010-03-01;28450
Austria;2010-04-01;31723
Belgium;2010-04-01;57309
Bulgaria;2010-04-01;1113
Czech Republic;2010-04-01;15283
